"Search Term","Product Title","Product Price","Product Description"
"﻿Bag","College Bags, School Bags, Laptop Bags, Office Bag","Rs. 1,950","""We sell All Kinds handbags, backpacks, luggage, laptop bags, and many more. (Buy Bags in Nepal)- Laptop Bags in Nepal (Bags shop in Kathmandu) - Best Quality and Design - Best Price Guarantee - 100% Genuine Products Our store is Located near to New Road Gate, Kathmandu Nepal: We don’t currently provide online delivery. In the future, we will deliver bags to you. For now, if you want to purchase the bag please feel free to visit our shop. Thank you!!! Buy Bags in Nepal"". Viber 9868731710"
"﻿Bag","College Bags, School Bags, Laptop Bags, Office Bag","Rs. 2,000","""We sell All Kinds handbags, backpacks, luggage, laptop bags, and many more. (Buy Bags in Nepal)- Laptop Bags in Nepal (Bags shop in Kathmandu) - Best Quality and Design - Best Price Guarantee - 100% Genuine Products Our store is Located near to New Road Gate, Kathmandu Nepal: We don’t currently provide online delivery. In the future, we will deliver bags to you. For now, if you want to purchase the bag please feel free to visit our shop. Thank you!!! Buy Bags in Nepal"". Viber 9868731710"
"﻿Bag","College Bags, School Bags, Laptop Bags, Office Bag","Rs. 1,850","""We sell All Kinds handbags, backpacks, luggage, laptop bags, and many more. (Buy Bags in Nepal)- Laptop Bags in Nepal (Bags shop in Kathmandu) - Best Quality and Design - Best Price Guarantee - 100% Genuine Products Our store is Located near to New Road Gate, Kathmandu Nepal: We don’t currently provide online delivery. In the future, we will deliver bags to you. For now, if you want to purchase the bag please feel free to visit our shop. Thank you!!! Buy Bags in Nepal"". Viber 9868731710"
"﻿Bag","College Bags, School Bags, Laptop Bags, Office Bag","Rs. 2,000","""We sell All Kinds handbags, backpacks, luggage, laptop bags, and many more. (Buy Bags in Nepal)- Laptop Bags in Nepal (Bags shop in Kathmandu) - Best Quality and Design - Best Price Guarantee - 100% Genuine Products Our store is Located near to New Road Gate, Kathmandu Nepal: We don’t currently provide online delivery. In the future, we will deliver bags to you. For now, if you want to purchase the bag please feel free to visit our shop. Thank you!!! Buy Bags in Nepal"". Viber 9868731710"
"Chair ","Plastic Chair | Chair | Dining Chair | Bagmati Pla","Rs. 570","- Brand: Bagmati - Made in Nepal - Colors available - Store location: https://bit.ly/google_map_gkfurnishing - View All Products Here: https://gkfurnishing.pasal.co - Facebook: https://www.facebook.com/gkfurnishing/ - Instagram: https://instagram.com/gkfurnishing"
"Chair ","Supreme Chair | Web | Plastic Chair | Chair","Rs. 3,000","- Brand: Supreme Furniture. - Made in India. - Store location: https://bit.ly/google_map_gkfurnishing - View All Products Here: https://gkfurnishing.pasal.co - Facebook: https://www.facebook.com/gkfurnishing/ - Instagram: https://instagram.com/gkfurnishing"
"Chair ","Supreme Chair | Iris | Plastic Chair | Chair","Rs. 2,800","- Brand: Supreme Furniture. - Made in India. - Store location: https://bit.ly/google_map_gkfurnishing - View All Products Here: https://gkfurnishing.pasal.co - Facebook: https://www.facebook.com/gkfurnishing/ - Instagram: https://instagram.com/gkfurnishing"
"Chair ","Office Chair | Chair | Round Metal Chair","Rs. 1,100","COMFORTABLE ROUND METAL CHAIR FOR DOING TABLE WORKS. - Store location: https://bit.ly/google_map_gkfurnishing - View All Products Here: https://gkfurnishing.pasal.co - Facebook: https://www.facebook.com/gkfurnishing/ - Instagram: https://instagram.com/gkfurnishing"
"Bike","Exercise Bike | Spin Bike | Indoor Cycling","Rs. 18,000","Frame: The stationary bike features a sturdy frame, providing a solid foundation for your workouts. Color Scheme: The primary color is black, complemented by vibrant red accents. Adjustable Seat: The red seat can be raised or lowered to accommodate users of varying heights. Handlebars: The handlebars are also adjustable, allowing you to find the perfect riding position. Flywheel: Positioned at the front, the black flywheel ensures a smooth cycling experience. It includes red markings, including"
"Bike","Dirt Bike 250 On Sale Or Exchange High Range Bike (Other Motorcycle Brands)","Rs. 2,80,000","Super fresh bike no any problem 8500 only run full fresh bike direct call me 9818144011"
"Bike","Dolphy Exercise Bike Spin Bike DGBCL0003","Rs. 30,000","Brand NEw Good Quality Free Delivery inside kathmandu Valley"
"Bike","Universal Winget For Sports Bike Rc/R15/All Bikes (Motorcycle - Accessories)","Rs. 1,499","For all bike imported ,delivery all nepal Wats app 9818763301"
"Laptop","Foldable Laptop Stand, Laptop Table Laptop","Rs. 1,450","ERGONOMIC DESIGN IMPROVES HEALTH:For office professionals, students & teachers, it allows you to find the most comfortable and healthiest working position. CONSTRUCT:Portable and it can fold in half for storage and transport,Lightweight easy to carry and playing games while laying on the bed or sofa MULTIFUNCTIONAL USE: It can be used as a lap desk while sitting on the sofa or bed, a standing desk for home and office, a TV tray for snacking , a playing table, or a working desk in your car and s"
"Laptop","Acer Aspire E1-571 Laptop | Acer Laptop","Rs. 19,999","Laptop is in good condition. Perfect for Home use and Office use. Used vayae pani sabbai condition ma xa."
"Laptop","Wiwu Alpha Laptop Bag | For Upto 14"" Laptops","Rs. 3,000","● Product name : WIWU ALPHA LAPTOPBAG ● Brand name : WIWU ● Material: Waterproof Polyester ● Compatible Size : for upto 14 inch ● Color: Black ● Stay organised with the internal and external zipped compartments to fit your pens, notes, phone, cables and more. ● Capacity is quite large with various compartments ● Both on the inside and on the front ● To store laptops, books / magazines and other items. ● It can be used for other small items, such as keys, cards and so on"
"Laptop","Laptop / Notebook Cooling Pad / Laptop Fan","Rs. 1,049","SIZE (CMS): 37W x 26.5D x 33H Fan speed: 700-1400 RPM Compatibility: 9"" to 17"" notebook, including wide screen USB Port: USB 1.1/2.0X4+ Mini USB X 1 (For power supply only) LED: Blue double fan"
"Smartphone","SAMSUNG GALAXY F15 5G SMARTPHONE 8GB RAM 6000 MAH (Samsung)","Rs. 29,999","Samsung Galaxy f15 5g SMARTPHONE with super AMOLED screen and 6000mah battery health. hight resolution camera ."
"Smartphone","POCO X6 5G SMARTPHONE ,256GB AND 8GB RAM (Mi (Xiaomi))","Rs. 34,999","POCO X6 5g SMARTPHONE with 256gb and 8gb ram . top notch budget friendly new launch mobile with snapdragon for better gaming experience and overall performance."
"Smartphone","POCO F6 5G SMARTPHONE, 8GB RAM AND 256 INTERNAL . (Mi (Xiaomi))","Rs. 51,999","Poco F6 5g SMARTPHONE with 8gb ram and 256 internal. latest smartphone with best gamine experience with snapdragon . BEST PERFORMANCE PHONE ."
"Smartphone","MOTOROLA G34 5G SMARTPHONE WITH 5000MAH BATTERY (Motorola)","Rs. 22,999","Motorola G34 5g SMARTPHONE with 5000mqh battery . best friendly budget smartphone with great functioning and best device for gaming also."
